tconst,title,startYear,endYear,runtime,genres,avgRating,numVotes,Rating,Summary,ReleaseDate,Genre,Language,Poster
tt11846996,Vigil,2021,\N,60,Crime Drama Mystery,7.4,28348,,The mysterious disappearance of a Scottish fishing trawler and a death onboard a Trident nuclear submarine bring the police into conflict with the Navy and British security services.,"Release dateDecember 23, 2021 (United States)",,EnglishArabicGermanFrench,"https://m.media-amazon.com/images/M/MV5BNTc2MzdiYmItZWUxMi00NjlhLThhZWMtYTQ0YTQwZTM3MmZkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt4922804,3%,2016,2020,49,Action Drama Sci-Fi,7.3,28340,,"A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.","Release dateNovember 25, 2016 (United States)",,Portuguese,"https://m.media-amazon.com/images/M/MV5BNTY5NGYzYjAtZjMyOC00ODljLWI2ZDMtNzhmZDc3ZDQxMzc5XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt6866266,Escape at Dannemora,2018,2018,63,Biography Crime Drama,7.9,28307,,A female prison employee in upstate New York becomes romantically involved with a pair of inmates and helps them escape.,"Release dateNovember 18, 2018 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BZmU4OWZkMDItYWFkYy00ZGUxLThjZjAtZTljODE0MWFiMzg5XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt1877514,The Vietnam War,2017,2017,99,Documentary History War,9.1,28304,,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Release dateSeptember 17, 2017 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BZmY2NGMyY2EtMjJiMS00MmFlLTk1MmItZDA1NTQ0ODg0MDA4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0417373,The Venture Bros.,2003,2018,22,Action Adventure Animation,8.6,28264,,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.","Release dateFebruary 16, 2003 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNjYwZjJhZDgtMDc2Mi00Y2U4LThjMzItZmYyZDYzZDNjMDI5XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,6,190,281_.jpg"
tt1608180,Mike & Molly,2010,2016,30,Comedy Romance,6.5,28213,,A couple meets at an Overeaters' Anonymous meeting.,"Release dateSeptember 20, 2010 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMTk4NTk4MjkyMl5BMl5BanBnXkFtZTcwNzAwMjYyOQ@@._V1_QL75_UY281_CR6,0,190,281_.jpg"
tt14482414,Racket Boys,2021,\N,80,Comedy Drama Sport,4.7,28168,,A city kid is brought to the countryside by his father's new coaching gig; reviving a ragtag middle school badminton team on the brink of extinction.,"Release dateMay 31, 2021 (United States)",,Korean,"https://m.media-amazon.com/images/M/MV5BODMyMTNhNDEtNjljNy00Zjc1LThmMzUtZTdjODkzMDYzM2QyXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_QL75_UY281_CR5,0,190,281_.jpg"
tt13406036,Anne Boleyn,2021,2021,60,Drama History,5.6,28143,,"The final months of Boleyn's life, her struggle with Tudor England's patriarchal society, her desire to secure a future for her daughter, Elizabeth, and the brutal reality of her failure to ... Read all","Release dateDecember 9, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMDVlMTliZTAtMjliZC00NjA3LWEzOGUtYTRjNjhmNTE4ZmM4XkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0381798,Rescue Me,2004,2011,42,Comedy Drama,8.3,28116,,Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.,"Release dateJuly 21, 2004 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMTU5MDI1MTU1N15BMl5BanBnXkFtZTcwMjA2Njk4Mw@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
tt5639976,The Mist,2017,2017,42,Drama Horror Mystery,5.4,28108,,"After an eerie mist rolls into a small town, the residents must battle the mysterious mist and its threats, fighting to maintain their morality and sanity.","Release dateJune 22, 2017 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMzE3MDk0ODkwM15BMl5BanBnXkFtZTgwMzA5NTk5MTI@._V1_QL75_UY281_CR2,0,190,281_.jpg"
